Unnamed: 0,host_response_time,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,instant_bookable,reviews_per_month
3360,1,100.0,0,29,19,0,4,0,2.0,2.0,230,2,1125,10,2,5.0,5.0,0,2.0
3361,1,98.0,0,30,17,0,4,0,2.0,2.0,75,90,180,3,34,4.44,4.38,0,1.99
3372,1,91.0,1,8,38,2,2,2,1.0,1.0,38,2,1125,281,38,4.82,4.79,0,0.39
3377,2,42.0,0,29,44,2,1,2,1.0,1.0,61,3,14,348,92,4.42,4.59,0,1.05
3379,2,71.0,0,23,17,0,4,0,2.0,3.0,200,2,1125,77,78,4.82,4.86,0,0.79
3381,2,95.0,1,8,26,2,2,1,1.0,2.0,78,1,30,61,95,4.87,4.97,0,1.03
3382,2,78.0,0,19,13,0,6,0,3.0,3.0,550,7,1125,310,36,4.89,4.82,0,0.38
3389,1,96.0,0,32,17,0,4,0,2.0,2.0,370,3,1125,162,33,4.61,4.33,0,0.37
3394,1,33.0,0,22,17,0,4,0,1.0,2.0,80,14,90,110,18,4.83,4.83,0,0.18
3396,1,54.0,0,18,44,2,1,2,1.0,1.0,57,2,1125,257,101,4.82,4.91,0,1.04
3398,2,100.0,0,13,48,2,2,0,1.0,1.0,93,4,365,253,67,4.84,4.54,0,0.72
3399,2,84.0,0,32,17,0,4,0,2.0,2.0,120,1,1125,145,93,4.03,4.19,0,0.95
3404,1,71.0,1,8,13,0,5,0,3.0,3.0,250,3,9,23,21,4.81,4.95,0,0.25
3410,2,81.0,1,29,17,0,2,0,1.0,2.0,85,14,1125,148,35,4.91,4.97,0,0.39
3414,2,90.0,1,27,44,2,2,1,1.0,1.0,99,5,45,49,8,5.0,5.0,0,0.18
3415,2,88.0,0,11,17,0,2,0,1.0,1.0,165,4,30,21,40,4.83,4.83,0,0.55
3416,1,27.0,0,8,44,2,2,2,1.0,1.0,100,80,1125,365,8,4.5,4.0,0,0.08
3419,1,100.0,0,22,13,0,8,0,4.0,5.0,275,3,1125,69,36,4.58,4.31,1,0.48
3424,2,57.0,0,1,13,0,4,0,2.0,3.0,150,3,90,70,87,4.92,4.89,0,0.9
3427,2,100.0,0,29,44,2,1,2,1.0,1.0,30,5,90,41,86,4.53,4.39,0,0.88
3428,2,97.0,1,7,44,2,1,2,1.0,1.0,35,2,1125,151,97,4.93,4.93,0,1.73
3434,2,98.0,0,29,17,0,4,0,1.0,1.0,135,3,300,317,169,4.56,4.73,0,1.82
3436,2,100.0,1,22,38,2,2,0,1.0,2.0,59,3,365,229,58,4.76,4.81,0,0.62
3443,2,99.0,1,19,17,0,4,0,2.0,3.0,173,3,1125,21,169,4.86,4.7,0,1.77
3456,1,58.0,0,19,17,0,2,0,1.0,1.0,160,12,60,48,16,5.0,4.86,0,0.18
3458,2,100.0,0,21,17,0,5,0,2.0,2.0,250,3,365,15,28,4.21,4.29,0,0.29
3464,0,17.0,0,22,17,0,2,0,1.0,2.0,153,2,1125,257,16,4.92,4.83,0,0.17
3465,0,100.0,0,29,44,2,1,0,1.0,1.0,49,5,31,39,8,4.88,4.88,0,0.09
3466,2,100.0,1,9,9,0,4,0,1.0,2.0,76,1,1125,259,62,4.81,4.85,1,1.27
3469,2,42.0,0,29,44,2,1,2,1.0,1.0,82,21,90,364,12,4.27,4.0,0,0.17
3471,2,94.0,0,11,48,2,2,2,1.0,1.0,47,1,90,175,70,4.49,4.28,0,0.76
3477,2,94.0,0,19,17,0,5,0,2.0,2.0,217,2,365,319,105,4.6,4.58,0,1.09
3487,2,96.0,1,29,17,0,2,0,1.0,1.0,195,3,4,32,57,4.82,4.87,0,0.59
3491,1,76.0,0,7,13,0,6,0,3.0,6.0,132,4,365,300,67,4.85,4.86,0,0.72
3493,1,75.0,1,11,9,0,3,0,2.0,2.0,197,10,1125,131,11,4.91,5.0,0,0.11
3504,2,97.0,1,12,44,2,1,0,1.0,1.0,75,2,5,311,48,4.96,4.81,0,0.5
3505,2,79.0,0,2,50,2,2,2,1.0,1.0,40,2,365,15,3,5.0,5.0,0,0.48
3510,2,94.0,0,11,38,2,4,2,1.0,2.0,56,2,90,89,75,4.39,4.24,0,0.78
3512,1,0.0,0,21,38,2,2,2,1.0,2.0,40,1,90,164,19,4.53,4.0,0,0.24
3521,2,99.0,0,18,44,2,2,0,1.0,1.0,70,2,1125,102,278,4.54,4.51,1,2.9
3522,2,98.0,1,5,11,0,2,0,1.0,2.0,110,1,1125,193,304,4.87,4.89,1,3.41
3528,1,96.0,1,12,38,2,1,2,1.0,2.0,75,9,60,16,12,5.0,4.75,0,0.3
3532,0,80.0,0,32,17,0,5,0,2.0,4.0,200,3,1125,23,155,4.84,4.81,0,1.6
3535,1,54.0,0,22,48,2,3,2,1.0,2.0,63,3,365,365,6,4.33,4.5,1,1.07
3541,1,63.0,0,32,17,0,6,0,3.0,6.0,420,5,15,23,17,4.82,4.59,0,0.18
3546,2,100.0,0,18,44,2,2,0,1.0,1.0,47,1,1125,212,412,4.72,4.27,1,4.39
3551,1,67.0,0,18,38,2,2,2,1.0,1.0,65,2,1125,339,85,4.46,4.38,1,0.89
3552,2,80.0,0,29,38,2,3,2,1.0,1.0,71,2,1125,359,11,4.56,4.67,0,0.12
3565,0,96.0,0,18,17,0,2,0,1.0,1.0,93,60,1125,0,165,4.9,4.9,0,1.75
3566,2,98.0,0,19,13,0,10,0,4.0,4.0,1500,1,1125,365,1,5.0,5.0,0,0.02
3567,1,0.0,0,27,32,2,2,2,1.0,2.0,129,4,20,364,34,4.33,4.24,0,0.35
3580,1,100.0,0,32,17,0,2,0,1.0,1.0,190,3,1123,301,38,4.32,4.16,1,0.4
3589,2,86.0,0,29,9,0,3,0,1.0,1.0,295,30,1125,311,48,4.64,4.53,0,0.51
3591,2,100.0,0,5,17,0,4,0,1.0,2.0,186,2,1125,269,234,4.61,4.51,0,2.48
3618,2,100.0,0,29,17,0,6,0,2.0,3.0,176,2,90,187,152,4.77,4.88,1,1.65
3639,2,97.0,0,21,44,2,2,1,1.0,1.0,100,3,1125,42,175,4.69,4.76,0,1.86
